time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.005590322222033962,0.012753641212550975,10.004995722968626,3.1437258844809186,0.1550486829553357,0.0,-0.3120671941922056,0.614763682111435,-0.22008662486533703,-4.403750200958114,10.613164152065096,0.0,121.8725417440577,899.4853917765823,632.1040710339453,274.30050767778283
0.12000000000000001,-0.01732525753537039,0.0486153821754395,9.950517696369344,5.451908530136059,0.1405747746232322,0.0,-0.030729348356688876,0.8398838562252733,-1.3630730969416325,-8.391249453599007,18.957642500256675,0.0,121.5263818345352,899.6263709494407,632.0265189060755,274.40120611566425
0.18,-0.024277041768227144,0.08777471535896307,9.853415584574718,0.3447145546171324,5.767930247807685,0.0,0.083841292440053,0.6486951403681469,-2.1232912440145073,-11.621226487230562,24.01138524012367,0.0,121.738190936506,899.7065366425667,632.1478263559459,274.0041492844594
0.23999999999999996,-0.019442681951059693,0.13755552151415892,9.733743963924352,0.5391462444988555,2.103021730789129,0.0,-0.3054802967029418,0.9605138752125721,-2.0357114897420656,-13.988719999307012,26.549597956924803,0.0,122.09585674320871,899.4804060519574,632.1493467200618,274.2986320034441
0.3,-0.058058338866516866,0.18424770172960067,9.57224277372774,0.10233035764616005,3.9530597615346483,0.0,-0.700848043305915,0.5905538134014952,-3.473804603567124,-15.598972345471033,27.69622299190812,0.0,121.544234804947,899.1885911335729,632.0806790049156,274.22786784566586
0.36000000000000004,-0.07081959332224375,0.21797540054931255,9.332558208829814,5.609826868327799,5.669540358250185,0.0,0.32423934636530743,0.5128673773579631,-4.246718301422353,-16.639207430709707,28.19081948779063,0.0,121.63387304677003,899.2370703483862,632.3741492781218,274.4888677636426
0.4200000000000001,-0.041863671205961815,0.2259906696584341,9.079521088305619,4.667789951676635,1.0906059018997691,0.0,0.36600203007897464,-0.33097809954274815,-4.293137760916101,-17.284490808976496,28.40130323651903,0.0,121.39095268768091,899.3247043156011,632.4438312051939,274.82945202589383
0.48000000000000015,-0.051921545355131514,0.2000838416523442,8.805211334628174,3.6479854494089636,2.7980977913038494,0.0,-0.6730509820407542,-0.2904599278318712,-4.736723527767926,-17.675490198943884,28.488403847127064,0.0,121.60570180317426,899.3115995522355,632.3294039057797,274.7956527685438
0.5400000000000001,-0.09333731245392486,0.19254108409574167,8.532067385747286,2.5918279605898675,4.508521382480758,0.0,-0.4425208319235748,-0.1104800555162668,-4.402953776583154,-17.91433730276766,28.525297341031116,0.0,121.59829243803509,899.3603499173271,632.5823318397952,274.5840424478407
0.6000000000000002,-0.08758843127708897,0.1906006608234224,8.250079346987503,1.517316724370084,6.220465412179525,0.0,0.5326541166858558,0.27106327401755886,-5.0961359314006165,-18.0596225544617,28.541343889508855,0.0,121.65587591149747,899.3890506611449,632.7238453136998,274.5182878257104
0.6600000000000003,-0.06350680379552982,0.23669422590484612,7.934021355579303,0.4330600890792278,1.649935540075207,0.0,0.025180989908555884,1.0880470354499943,-5.372280190689416,-18.14341259059353,28.54826051629393,0.0,121.67998293810288,899.4138628762712,632.6511685548119,274.6295053648194
0.7200000000000003,-0.09150917933887744,0.30137142673460854,7.582097666884008,5.626962913004684,3.3628669583043713,0.0,-0.7803050427813967,1.1460601272382456,-6.5496424108751965,-18.19225406867649,28.549919885704096,0.0,122.12529299676639,899.3895597321201,632.5183768591588,274.5504080102049
0.7800000000000004,-0.12214316153900062,0.3879204041839052,7.152615776727741,4.534862922544606,5.075812144451206,0.0,-0.03949784885761143,1.6459638869088107,-7.603074541741765,-18.22568389387582,28.547613204848073,0.0,122.19177318615739,899.2464957585503,632.7189286466461,274.244995946765
0.8400000000000004,-0.099203981897041,0.47044788377004215,6.667845036188433,3.441006242875133,0.5053601222165618,0.0,0.5765866241834022,1.0546171315756552,-8.716197607285533,-18.24231508124801,28.542422628634217,0.0,122.23325772697288,899.0249290054718,632.4880985898052,274.19833936250535
0.9000000000000005,-0.08755803534388101,0.5296547562066541,6.108987472326011,2.346219773089814,2.217910833493484,0.0,-0.32895583314741644,0.9580934481602078,-9.679539548169727,-18.253888793591404,28.542402381359828,0.0,122.11815770930009,899.1243935544757,632.7260528860539,274.4604558961189
0.9600000000000005,-0.12462915835367439,0.5661892639210048,5.525239770914454,1.2508433137764303,3.9303307055293324,0.0,-0.6590827468406878,0.11321730675013209,-9.858702943839452,-18.26089347933228,28.537087672330554,0.0,121.99738634113474,898.8499010364545,632.845040677141,274.5299805898601
1.0200000000000005,-0.13534166896446162,0.5582367525326041,4.914585175167979,0.15511505590690522,5.642402603635038,0.0,0.3470125359645105,-0.1504549168289554,-10.36623667708943,-18.263955495556793,28.53015063456172,0.0,121.81942396087189,898.5670119754748,632.7585368747575,274.5675835050506
1.0800000000000005,-0.10653178604940144,0.5476850279319406,4.2993651741315375,5.342490163374517,1.0709930445263858,0.0,0.38312781500686854,-0.34175307082019046,-10.165055109095363,-18.262753031486074,28.528757578080935,0.0,121.63142191024414,898.6514248681314,632.5427740969807,274.3405387165502
1.1400000000000006,-0.11529733917043576,0.5221192170217547,3.673815932530952,4.24676679539334,2.782753166871826,0.0,-0.6568947755164122,-0.24612975759035735,-10.75437148102219,-18.26107154578893,28.530265302781814,0.0,121.84377137621266,898.760082320528,632.4217831010742,274.39738082141537
